Edad	Problema	Lentes	Astigmatismo	Prod.lagrimas
Adulto	Miopia		Blandos	No		Normal
Adulto	Hipermetropia	Blandos	No		Normal
Anciano	Hipermetropia	Blandos	No		Normal
Joven	Miopia		Blandos	No		Normal
Joven	Hipermetropia	Blandos	No		Normal
Adulto	Miopia		Duros	Si		Normal
Anciano	Miopia		Duros	Si		Normal
Joven	Miopia		Duros	Si		Normal
Joven	Hipermetropia	Duros	Si		Normal
Adulto	Hipermetropia	Ninguno	Si		Normal
Anciano	Miopia		Ninguno	No		Normal
Anciano	Hipermetropia	Ninguno	Si		Normal
Adulto	Miopia		Ninguno	No		Reducida
Adulto	Miopia		Ninguno	Si		Reducida
Adulto	Hipermetropia	Ninguno	No		Reducida
Adulto	Hipermetropia	Ninguno	Si		Reducida
Anciano	Miopia		Ninguno	No		Reducida
Anciano	Miopia		Ninguno	Si		Reducida
Anciano	Hipermetropia	Ninguno	No		Reducida
Anciano	Hipermetropia	Ninguno	Si		Reducida
Joven	Miopia		Ninguno	No		Reducida
Joven	Miopia		Ninguno	Si		Reducida
Joven	Hipermetropia	Ninguno	No		Reducida
Joven	Hipermetropia	Ninguno	Si		Reducida
